iter	Passed	Remaining
0	231	231435
1	236	117977
2	238	79395
3	243	60690
4	248	49517
5	252	41787
6	255	36229
7	258	32113
8	263	29012
9	266	26359
10	269	24200
11	271	22380
12	276	20987
13	279	19692
14	282	18544
15	285	17527
16	288	16656
17	293	16034
18	297	15348
19	299	14681
20	302	14115
21	306	13606
22	310	13177
23	313	12747
24	315	12321
25	318	11925
26	320	11566
27	325	11287
28	328	11002
29	331	10705
30	333	10430
31	336	10189
32	340	9966
33	342	9744
34	345	9524
35	347	9311
36	350	9112
37	352	8933
38	356	8779
39	359	8625
40	363	8490
41	366	8357
42	370	8251
43	374	8130
44	377	8008
45	379	7875
46	382	7755
47	384	7627
48	388	7531
49	391	7436
50	394	7343
51	397	7244
52	399	7139
53	403	7068
54	406	6986
55	409	6897
56	411	6811
57	413	6721
58	416	6635
59	419	6576
60	422	6506
61	425	6431
62	427	6358
63	429	6282
64	431	6207
65	436	6171
66	439	6114
67	441	6048
68	443	5983
69	445	5920
70	447	5860
71	452	5833
72	455	5789
73	458	5737
74	460	5684
75	462	5629
76	466	5594
77	470	5563
78	473	5517
79	475	5469
80	477	5419
81	479	5369
82	484	5352
83	487	5315
84	490	5276
85	492	5231
86	494	5186
87	497	5154
88	501	5134
89	504	5098
90	506	5062
91	508	5021
92	510	4980
93	513	4948
94	518	4934
95	520	4902
96	522	4868
97	524	4831
98	526	4794
99	531	4781
100	534	4757
101	536	4726
102	538	4693
103	540	4659
104	543	4629
105	547	4618
106	550	4594
107	553	4571
108	556	4549
109	559	4524
110	563	4512
111	566	4489
112	568	4463
113	571	4441
114	574	4419
115	578	4407
116	583	4400
117	585	4377
118	588	4354
119	591	4334
120	595	4328
121	599	4312
122	601	4290
123	604	4267
124	606	4247
125	611	4240
126	614	4225
127	617	4204
128	620	4187
129	622	4164
130	626	4152
131	630	4147
132	633	4130
133	635	4110
134	638	4088
135	640	4069
136	646	4073
137	650	4060
138	652	4041
139	655	4025
140	660	4026
141	663	4010
142	666	3992
143	668	3975
144	670	3955
145	675	3950
146	678	3937
147	681	3920
148	683	3902
149	685	3882
150	688	3869
151	692	3864
152	695	3852
153	698	3836
154	700	3818
155	702	3802
156	707	3798
157	710	3788
158	713	3772
159	715	3757
160	717	3739
161	721	3729
162	725	3724
163	728	3711
164	730	3697
165	733	3683
166	737	3679
167	741	3674
168	744	3661
169	747	3649
170	750	3640
171	756	3640
172	759	3630
173	762	3618
174	764	3603
175	766	3589
176	772	3590
177	775	3579
178	777	3567
179	780	3555
180	783	3546
181	789	3546
182	791	3533
183	794	3521
184	797	3514
185	802	3511
186	805	3503
187	809	3495
188	811	3482
189	813	3468
190	816	3458
191	820	3453
192	823	3442
193	825	3430
194	827	3416
195	829	3403
196	833	3395
197	837	3390
198	839	3378
199	841	3367
200	843	3354
201	846	3342
202	849	3337
203	854	3333
204	856	3323
205	859	3313
206	861	3301
207	865	3294
208	868	3288
209	871	3278
210	873	3266
211	875	3254
212	877	3242
213	880	3232
214	884	3229
215	887	3221
216	890	3214
217	893	3206
218	897	3201
219	901	3196
220	904	3187
221	906	3177
222	908	3166
223	912	3160
224	915	3153
225	918	3143
226	921	3137
227	924	3130
228	928	3126
229	932	3121
230	935	3112
231	937	3103
232	940	3097
233	945	3095
234	949	3089
235	951	3081
236	954	3073
237	957	3064
238	960	3059
239	964	3053
240	967	3045
241	969	3036
242	972	3028
243	975	3023
244	979	3019
245	982	3012
246	985	3005
247	988	2997
248	991	2990
249	995	2987
250	998	2979
251	1001	2971
252	1003	2961
253	1005	2952
254	1009	2950
255	1013	2945
256	1016	2937
257	1018	2929
258	1020	2920
259	1025	2918
260	1029	2915
261	1031	2906
262	1034	2898
263	1036	2890
264	1040	2886
265	1045	2883
266	1047	2875
267	1050	2868
268	1052	2859
269	1057	2857
270	1060	2852
271	1062	2844
272	1065	2837
273	1067	2828
274	1070	2823
275	1075	2820
276	1078	2814
277	1080	2806
278	1084	2801
279	1087	2795
280	1092	2794
281	1095	2788
282	1097	2780
283	1100	2773
284	1103	2768
285	1108	2766
286	1111	2762
287	1114	2755
288	1117	2749
289	1122	2747
290	1125	2742
291	1128	2735
292	1131	2730
293	1134	2724
294	1139	2722
295	1142	2716
296	1145	2710
297	1147	2702
298	1150	2696
299	1155	2696
300	1159	2691
301	1161	2684
302	1164	2677
303	1168	2674
304	1172	2671
305	1175	2665
306	1177	2657
307	1179	2649
308	1181	2643
309	1187	2643
310	1190	2637
311	1192	2630
312	1195	2623
313	1197	2616
314	1202	2614
315	1204	2607
316	1207	2601
317	1209	2594
318	1211	2586
319	1214	2579
320	1218	2578
321	1221	2572
322	1223	2565
323	1226	2557
324	1228	2550
325	1231	2547
326	1235	2543
327	1238	2537
328	1241	2532
329	1244	2526
330	1248	2523
331	1251	2518
332	1254	2511
333	1256	2505
334	1258	2498
335	1260	2491
336	1265	2490
337	1269	2485
338	1271	2479
339	1273	2472
340	1275	2465
341	1280	2462
342	1284	2459
343	1286	2453
344	1289	2447
345	1291	2440
346	1293	2434
347	1298	2432
348	1300	2426
349	1303	2420
350	1306	2414
351	1308	2408
352	1311	2402
353	1315	2401
354	1318	2395
355	1320	2389
356	1322	2382
357	1324	2375
358	1329	2373
359	1332	2369
360	1335	2363
361	1337	2357
362	1339	2350
363	1342	2345
364	1346	2342
365	1349	2336
366	1351	2331
367	1353	2324
